"Date","Hcc","Total","Age0","Age0_1","Age0_2","Age10","Age20","Age30","Age40","Age50","Age60","Age60_2","Age70","Age80","Age90","unknown"
"2022-10-03","神奈川県全体",933,6,43,86,152,147,112,137,115,28,25,37,31,14,0
"2022-10-03","県所管域分",130,0,5,19,14,26,14,19,12,5,4,4,7,1,0
"2022-10-03","平塚保健福祉事務所管内",16,0,0,4,1,2,2,0,2,0,1,2,2,0,0
"2022-10-03","鎌倉保健福祉事務所管内",14,0,1,1,2,1,1,4,2,1,0,1,0,0,0
"2022-10-03","小田原保健福祉事務所管内",26,0,0,4,2,7,2,6,4,0,0,1,0,0,0
"2022-10-03","厚木保健福祉事務所管内",74,0,4,10,9,16,9,9,4,4,3,0,5,1,0
"2022-10-03","横浜市分",460,4,21,36,86,63,41,68,58,15,14,26,17,11,0
"2022-10-03","川崎市分",199,1,8,17,23,38,36,36,26,5,2,5,1,1,0
"2022-10-03","相模原市分",28,0,1,3,8,5,5,2,1,0,2,0,1,0,0
"2022-10-03","横須賀市分",56,1,3,4,9,6,11,7,8,2,2,1,2,0,0
"2022-10-03","藤沢市分",42,0,5,4,10,5,5,2,7,1,1,0,1,1,0
"2022-10-03","茅ヶ崎市分",18,0,0,3,2,4,0,3,3,0,0,1,2,0,0
"2022-10-02","県所管域分",363,3,17,25,72,59,30,56,49,8,11,29,4,0,0
"2022-10-02","平塚保健福祉事務所管内",58,2,5,5,9,8,5,5,9,2,2,6,0,0,0
"2022-10-02","鎌倉保健福祉事務所管内",50,0,1,0,9,8,3,10,7,0,3,7,2,0,0
"2022-10-02","小田原保健福祉事務所管内",44,0,0,7,7,12,0,7,3,2,1,5,0,0,0
"2022-10-02","厚木保健福祉事務所管内",211,1,11,13,47,31,22,34,30,4,5,11,2,0,0
"2022-10-02","横浜市分",398,1,13,27,62,63,66,46,60,16,6,18,17,3,0
"2022-10-02","川崎市分",338,0,22,16,42,61,48,56,55,7,8,13,8,2,0
"2022-10-02","相模原市分",145,2,3,11,25,30,18,17,18,8,5,6,1,1,0
"2022-10-02","横須賀市分",65,0,3,2,7,10,6,7,15,3,3,4,5,0,0
"2022-10-02","藤沢市分",73,0,3,7,9,9,4,16,13,3,4,3,0,2,0
"2022-10-02","茅ヶ崎市分",33,0,0,4,4,3,7,4,6,1,1,3,0,0,0
"2022-10-01","県所管域分",371,4,14,29,61,59,54,50,41,17,7,20,14,1,0
"2022-10-01","平塚保健福祉事務所管内",69,1,4,10,11,11,5,4,8,7,2,4,2,0,0
"2022-10-01","鎌倉保健福祉事務所管内",35,1,0,0,8,5,5,5,2,0,1,3,5,0,0
"2022-10-01","小田原保健福祉事務所管内",59,0,3,6,9,7,9,10,6,3,0,4,2,0,0
"2022-10-01","厚木保健福祉事務所管内",208,2,7,13,33,36,35,31,25,7,4,9,5,1,0
"2022-10-01","横浜市分",808,8,38,59,119,128,90,106,102,30,16,56,31,24,1
"2022-10-01","川崎市分",490,7,19,26,74,91,79,74,73,17,7,13,7,3,0
"2022-10-01","相模原市分",201,3,5,13,39,27,19,24,31,16,2,16,6,0,0
"2022-10-01","横須賀市分",73,1,2,6,7,11,8,11,17,1,1,6,2,0,0
"2022-10-01","藤沢市分",83,0,4,2,12,20,12,15,8,3,2,3,1,1,0
"2022-10-01","茅ヶ崎市分",62,1,4,2,10,5,9,6,10,3,2,4,4,2,0
"2022-09-30","県所管域分",385,3,16,29,48,41,59,68,46,14,19,27,13,2,0
"2022-09-30","平塚保健福祉事務所管内",67,1,1,5,9,6,11,11,9,2,7,3,2,0,0
"2022-09-30","鎌倉保健福祉事務所管内",65,1,2,3,7,7,10,15,8,1,2,4,5,0,0
"2022-09-30","小田原保健福祉事務所管内",62,0,4,4,6,11,9,10,6,4,4,3,1,0,0
"2022-09-30","厚木保健福祉事務所管内",191,1,9,17,26,17,29,32,23,7,6,17,5,2,0
"2022-09-30","横浜市分",723,7,23,40,94,115,115,107,94,32,22,43,19,12,0
"2022-09-30","川崎市分",436,5,14,29,62,77,74,69,43,23,5,14,17,4,0
"2022-09-30","相模原市分",162,2,8,14,33,18,19,23,19,7,3,10,5,1,0
