"Date","City","count"
"2021年12月31日","横浜市",""
"2021年12月31日","市外(県内)",NA
"2021年12月31日","市外(県外)",NA
"2021年12月31日","市外(都内)",NA
"2021年12月30日","横浜市",""
"2021年12月30日","市外(県内)",NA
"2021年12月30日","市外(県外)",NA
"2021年12月30日","市外(都内)",NA
"2021年12月29日","横浜市",""
"2021年12月29日","市外(県内)",NA
"2021年12月29日","市外(県外)",NA
"2021年12月29日","市外(都内)",NA
"2021年12月28日","横浜市",""
"2021年12月28日","市外(県内)",NA
"2021年12月28日","市外(県外)",NA
"2021年12月28日","市外(都内)",NA
"2021年12月27日","横浜市",""
"2021年12月27日","市外(県内)",NA
"2021年12月27日","市外(県外)",NA
"2021年12月27日","市外(都内)",NA
"2021年12月26日","横浜市",""
"2021年12月26日","市外(県内)",NA
"2021年12月26日","市外(県外)",NA
"2021年12月26日","市外(都内)",NA
"2021年12月25日","横浜市",""
"2021年12月25日","市外(県内)",NA
"2021年12月25日","市外(県外)",NA
"2021年12月25日","市外(都内)",NA
"2021年12月24日","横浜市",""
"2021年12月24日","市外(県内)",NA
"2021年12月24日","市外(県外)",NA
"2021年12月24日","市外(都内)",NA
"2021年12月23日","横浜市",""
"2021年12月23日","市外(県内)",NA
"2021年12月23日","市外(県外)",NA
"2021年12月23日","市外(都内)",NA
"2021年12月22日","横浜市",""
"2021年12月22日","市外(県内)",NA
"2021年12月22日","市外(県外)",NA
"2021年12月22日","市外(都内)",NA
"2021年12月21日","横浜市",""
"2021年12月21日","市外(県内)",NA
"2021年12月21日","市外(県外)",NA
"2021年12月21日","市外(都内)",NA
"2021年12月20日","横浜市",""
"2021年12月20日","市外(県内)",NA
"2021年12月20日","市外(県外)",NA
"2021年12月20日","市外(都内)",NA
"2021年12月19日","横浜市",""
"2021年12月19日","市外(県内)",NA
"2021年12月19日","市外(県外)",NA
"2021年12月19日","市外(都内)",NA
"2021年12月18日","横浜市",""
"2021年12月18日","市外(県内)",NA
"2021年12月18日","市外(県外)",NA
"2021年12月18日","市外(都内)",NA
"2021年12月17日","横浜市",""
"2021年12月17日","市外(県内)",NA
"2021年12月17日","市外(県外)",NA
"2021年12月17日","市外(都内)",NA
"2021年12月16日","横浜市",""
"2021年12月16日","市外(県内)",NA
"2021年12月16日","市外(県外)",NA
"2021年12月16日","市外(都内)",NA
"2021年12月15日","横浜市",""
"2021年12月15日","市外(県内)",NA
"2021年12月15日","市外(県外)",NA
"2021年12月15日","市外(都内)",NA
"2021年12月14日","横浜市","0"
"2021年12月14日","市外(県内)","0"
"2021年12月14日","市外(県外)","0"
"2021年12月14日","市外(都内)","2"
"2021年12月13日","横浜市",""
"2021年12月13日","市外(県内)",NA
"2021年12月13日","市外(県外)",NA
"2021年12月13日","市外(都内)",NA
"2021年12月12日","横浜市",""
"2021年12月12日","市外(県内)",NA
"2021年12月12日","市外(県外)",NA
"2021年12月12日","市外(都内)",NA
"2021年12月11日","横浜市",""
"2021年12月11日","市外(県内)",NA
"2021年12月11日","市外(県外)",NA
"2021年12月11日","市外(都内)",NA
"2021年12月10日","横浜市",""
"2021年12月10日","市外(県内)",NA
"2021年12月10日","市外(県外)",NA
"2021年12月10日","市外(都内)",NA
"2021年12月9日","横浜市",""
"2021年12月9日","市外(県内)",NA
"2021年12月9日","市外(県外)",NA
"2021年12月9日","市外(都内)",NA
"2021年12月8日","横浜市",""
"2021年12月8日","市外(県内)",NA
"2021年12月8日","市外(県外)",NA
"2021年12月8日","市外(都内)",NA
"2021年12月7日","横浜市","2"
"2021年12月7日","市外(県内)","0"
"2021年12月7日","市外(県外)","0"
"2021年12月7日","市外(都内)","0"
"2021年12月6日","横浜市","3"
"2021年12月6日","市外(県内)","0"
"2021年12月6日","市外(県外)","0"
"2021年12月6日","市外(都内)","0"
"2021年12月5日","横浜市","3"
"2021年12月5日","市外(県内)","0"
"2021年12月5日","市外(県外)","0"
"2021年12月5日","市外(都内)","0"
"2021年12月4日","横浜市","4"
"2021年12月4日","市外(県内)","1"
"2021年12月4日","市外(県外)","0"
"2021年12月4日","市外(都内)","0"
"2021年12月3日","横浜市","2"
"2021年12月3日","市外(県内)","0"
"2021年12月3日","市外(県外)","0"
"2021年12月3日","市外(都内)","0"
"2021年12月2日","横浜市","3"
"2021年12月2日","市外(県内)","0"
"2021年12月2日","市外(県外)","0"
"2021年12月2日","市外(都内)","0"
"2021年12月1日","横浜市","6"
"2021年12月1日","市外(県内)","1"
"2021年12月1日","市外(県外)","0"
"2021年12月1日","市外(都内)","0"
